"id","Item URI","Dublin Core:Title","Dublin Core:Creator","Dublin Core:Date","Dublin Core:Identifier","xml_link","collection"
"BUCA_Bastaire_Collection_Aventures_C91972","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77926","Les chevaliers de la forêt. [II], Le spectre vivant|La gorge des vents","Aleyrac, Jean (18..-19..)"," [191.?]","BUCA_Bastaire_Collection_Aventures_C91972","BUCA_Bastaire_Collection_Aventures_C91972.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91973","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77925","Justus Wise, détective. [II], La chasse à l'homme|Le pli rouge","Romagny, A. (18..-19..)"," [191.?]","BUCA_Bastaire_Collection_Aventures_C91973","BUCA_Bastaire_Collection_Aventures_C91973.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91974","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77924","Les petits chanteurs des rues. [II], Le mystérieux mage","Fabien, Jean (1886-1960)"," [191.?]","BUCA_Bastaire_Collection_Aventures_C91974","BUCA_Bastaire_Collection_Aventures_C91974.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91975","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77923","Les éclaireurs rouges. [II], L'automobile blindée","Romagny, A. (18..-19..)"," [191.?]","BUCA_Bastaire_Collection_Aventures_C91975","BUCA_Bastaire_Collection_Aventures_C91975.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91976","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77922","Les champs d'or de l'Urubu. [II], Le poison des vaudoux","Moselli, José (1882-1941)"," [191.?]","BUCA_Bastaire_Collection_Aventures_C91976","BUCA_Bastaire_Collection_Aventures_C91976.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91977","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77921","Les aventures de coucou. La guerre dans la prairie","Choquet, Gaston (1875-1917)"," [191.?]","BUCA_Bastaire_Collection_Aventures_C91977","BUCA_Bastaire_Collection_Aventures_C91977.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91978","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77920","Les aventures de Coucou. Le nain au collier de chien","Choquet, Gaston (1875-1917)"," [191.?]","BUCA_Bastaire_Collection_Aventures_C91978","BUCA_Bastaire_Collection_Aventures_C91978.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91979","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77919","Les aventures de coucou. Le château du lac","Choquet, Gaston (1875-1917)"," [191.?]","BUCA_Bastaire_Collection_Aventures_C91979","BUCA_Bastaire_Collection_Aventures_C91979.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91980","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77918","L' île aux lingots. [I]","Adam, Pierre (1883-1943)"," [191.?]","BUCA_Bastaire_Collection_Aventures_C91980","BUCA_Bastaire_Collection_Aventures_C91980.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91981","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77917","Au fond du puits|L'enfant du roi des Placers","Aleyrac, Jean (18..-19..)"," [191.?]","BUCA_Bastaire_Collection_Aventures_C91981","BUCA_Bastaire_Collection_Aventures_C91981.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91982","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77916","Le nain de Kingstown. [I]","Préval, R."," [191.?]","BUCA_Bastaire_Collection_Aventures_C91982","BUCA_Bastaire_Collection_Aventures_C91982.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91983","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77915","Les geôles boches|Une rencontre dans le désert","Mériel, G. (18..-19..)"," [191.?]","BUCA_Bastaire_Collection_Aventures_C91983","BUCA_Bastaire_Collection_Aventures_C91983.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91984","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77914","Une poursuite mouvementée. [I]","Rinet, Jacques"," [191.?]","BUCA_Bastaire_Collection_Aventures_C91984","BUCA_Bastaire_Collection_Aventures_C91984.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91985","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77913","La main criminelle. [I]","Freidy, S. (18..-18..)"," [191.?]","BUCA_Bastaire_Collection_Aventures_C91985","BUCA_Bastaire_Collection_Aventures_C91985.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91986","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77912","La cachette introuvable","Freidy, S. (18..-18..)"," [191.?]","BUCA_Bastaire_Collection_Aventures_C91986","BUCA_Bastaire_Collection_Aventures_C91986.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91987","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77911","Les aventures d'un gentilhomme français chez les gantois. [I]","Jean-Bernard (1858-1936)"," [191?]","BUCA_Bastaire_Collection_Aventures_C91987","BUCA_Bastaire_Collection_Aventures_C91987.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91988","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77910","Le disque de bronze. [III], Au pouvoir de Kadrassy","Adam, Pierre (1883-1943)","[1926?]","BUCA_Bastaire_Collection_Aventures_C91988","BUCA_Bastaire_Collection_Aventures_C91988.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91989","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77909","Martin Daltier détective. [I], A la merci des flots","Scott, Maxwell (18..-19..)","[1926?]","BUCA_Bastaire_Collection_Aventures_C91989","BUCA_Bastaire_Collection_Aventures_C91989.xml","Collection d'Aventures"
"BUCA_Bastaire_Collection_Aventures_C91990","https://bibliotheque-virtuelle.bu.uca.fr/items/show/77908","Le disque de bronze. [IV], La découverte de Bergal","Adam, Pierre (1883-1943)","[1926?]","BUCA_Bastaire_Collection_Aventures_C91990","BUCA_Bastaire_Collection_Aventures_C91990.xml","Collection d'Aventures"
"BUCA_Bastaire_Roman_Aventures_C95433","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73471","L'île aux parangons","Tossel, Paul (1911-1980)",1937,"BUCA_Bastaire_Roman_Aventures_C95433","BUCA_Bastaire_Roman_Aventures_C95433.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95414","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73470","L' île aux pieuvres","Escrignelles, Maurice d' (1914-2002)",1936,"BUCA_Bastaire_Roman_Aventures_C95414","BUCA_Bastaire_Roman_Aventures_C95414.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95465","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73469","Les captives du Rajah rouge","Escrignelles, Maurice d' (1914-2002)",1939,"BUCA_Bastaire_Roman_Aventures_C95465","BUCA_Bastaire_Roman_Aventures_C95465.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95466","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73468","Les naufragés de l'iceberg","Chambon, Jacques (1898-1967)",1941,"BUCA_Bastaire_Roman_Aventures_C95466","BUCA_Bastaire_Roman_Aventures_C95466.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95463","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73467","L' enterré vivant","Chambon, Jacques (1898-1967)",1939,"BUCA_Bastaire_Roman_Aventures_C95463","BUCA_Bastaire_Roman_Aventures_C95463.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95464","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73466","La forêt en flammes","Chambon, Jacques (1898-1967)",1939,"BUCA_Bastaire_Roman_Aventures_C95464","BUCA_Bastaire_Roman_Aventures_C95464.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95462","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73465","Le pôle tragique","Michel, André (18..-19..)",1938,"BUCA_Bastaire_Roman_Aventures_C95462","BUCA_Bastaire_Roman_Aventures_C95462.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95460","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73464","Les divinités de l'or","Olasso, Pierre (1895-1957)",1938,"BUCA_Bastaire_Roman_Aventures_C95460","BUCA_Bastaire_Roman_Aventures_C95460.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95461","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73463","Révolte dans la brousse","Tossel, Paul (1911-1980)",1938,"BUCA_Bastaire_Roman_Aventures_C95461","BUCA_Bastaire_Roman_Aventures_C95461.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95459","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73462","Le solitaire des marais","Escrignelles, Maurice d' (1914-2002)",1938,"BUCA_Bastaire_Roman_Aventures_C95459","BUCA_Bastaire_Roman_Aventures_C95459.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95456","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73461","Plume d'aigle","Escrignelles, Maurice d' (1914-2002)",1938,"BUCA_Bastaire_Roman_Aventures_C95456","BUCA_Bastaire_Roman_Aventures_C95456.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95455","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73460","Les hommes sans visage","Duchesne, René (1891-1964)",1938,"BUCA_Bastaire_Roman_Aventures_C95455","BUCA_Bastaire_Roman_Aventures_C95455.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95458","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73459","La chasse à l'homme","Duchesne, René (1891-1964)",1938,"BUCA_Bastaire_Roman_Aventures_C95458","BUCA_Bastaire_Roman_Aventures_C95458.xml","Le petit roman d'aventures"
